% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%
% Re-scaled Ca 20 pt smth
% YBP	Ca 20 pt smth
30926.70629	1.20045
30957.29487	1.144275
30987.88345	1.124975
31018.47203	1.1173
31049.06061	1.116
31079.64918	1.12525
31110.23776	1.12895
31140.82634	1.12705
31171.41492	1.12725
31202.0035	1.131275
31232.59207	1.1276
31263.18065	1.135375
31293.76923	1.138475
31324.35781	1.143025
31354.94639	1.1523
31385.53497	1.160225
31416.12354	1.16415
31446.71212	1.17255
31477.3007	1.17515
31507.88928	1.190775
31538.47786	1.195125
31569.06643	1.199575
31599.65501	1.203825
31630.24359	1.20865
31660.83217	1.220275
31691.42075	1.219575
31722.00932	1.208875
31752.5979	1.206675
31783.18648	1.212425
31813.77506	1.2107
31844.36364	1.21735
31874.95221	1.219725
31905.54079	1.227225
31936.12937	1.23075
31966.71795	1.235725
31997.30653	1.24275
32027.8951	1.24665
32058.48368	1.2447
32089.07226	1.249925
32119.66084	1.24205
32150.24942	1.247775
32180.838	1.2469
32211.42657	1.2444
32242.01515	1.24455
32272.60373	1.239425
32303.19231	1.236675
32333.78089	1.24685
32364.36946	1.25055
32394.95804	1.244475
32425.54662	1.2474
32456.1352	1.2547
32486.72378	1.251675
32517.31235	1.255525
32547.90093	1.2529
32578.48951	1.249125
32609.07809	1.246425
32639.66667	1.244775
32670.25524	1.241925
32700.84382	1.241825
32731.4324	1.234825
32762.02098	1.229425
32792.60956	1.232025
33826.5035	1.2361
33857.09207	1.2384
33887.68065	1.23035
33918.26923	1.226375
33948.85781	1.218275
33979.44639	1.22065
34010.03497	1.22255
34040.62354	1.220575
34071.21212	1.212475
34101.8007	1.211025
34132.38928	1.19585
34162.97786	1.19525
34193.56643	1.1961
34224.15501	1.186375
34254.74359	1.184975
34285.33217	1.18985
34315.92075	1.19445
34346.50932	1.196975
34377.0979	1.193575
34407.68648	1.195425
34438.27506	1.19715
34468.86364	1.19875
34499.45221	1.2061
34530.04079	1.2115
34560.62937	1.2169
34591.21795	1.220625
34621.80653	1.224
34652.3951	1.22605
34682.98368	1.2263
34713.57226	1.2278
34744.16084	1.233825
34774.74942	1.2393
34805.338	1.23775
34835.92657	1.243625
34866.51515	1.24755
34897.10373	1.251575
34927.69231	1.250175
34958.28089	1.2548
34988.86946	1.258225
35019.45804	1.251325
35050.04662	1.248925
35080.6352	1.25145
35111.22378	1.25455
35141.81235	1.256475
35172.40093	1.257875
35202.98951	1.26155
35233.57809	1.28045
35264.16667	1.2935
35294.75524	1.296075
35325.34382	1.296875
35355.9324	1.29975
35386.52098	1.3014
35417.10956	1.30435
35447.69814	1.299625
35478.28671	1.29775
35508.87529	1.292275
35539.46387	1.2905
35570.05245	1.28695
35600.64103	1.2855
35631.2296	1.287275
35661.81818	1.28225
35692.40676	1.27435
35722.99534	1.269175
35753.58392	1.26175
35784.17249	1.26195
35814.76107	1.253925
35845.34965	1.229875
35875.93823	1.213875
35906.52681	1.19915
35937.11538	1.18775
35967.70396	1.17465
35998.29254	1.162975
36028.88112	1.1567
36059.4697	1.1535
36090.05828	1.14675
36120.64685	1.139475
36151.65418	1.129325
36183.28965	1.1214
36214.92511	1.119575
36246.56057	1.112125
36278.19603	1.1019
36309.83149	1.095975
36341.46695	1.084025
36373.10241	1.0838
36404.73787	1.076525
36436.37333	1.069375
36468.00879	1.06645
36499.64425	1.06205
36531.27971	1.0646
36562.91517	1.07395
36594.55063	1.0809
36626.1861	1.080425
36657.82156	1.07445
36689.45702	1.07255
36721.09248	1.071875
36752.72794	1.077525
36784.3634	1.082975
36815.99886	1.084575
36847.63432	1.07965
36879.26978	1.082025
36910.90524	1.08705
36942.5407	1.08775
36974.17616	1.092925
37005.81162	1.08595
37037.44709	1.08795
37069.08255	1.088075
37100.71801	1.083375
37132.35347	1.0819
37163.98893	1.081575
37195.62439	1.070425
37227.25985	1.075975
37258.89531	1.077225
37290.53077	1.081125
37322.16623	1.085825
37353.80169	1.091375
37385.43715	1.0925
37417.07261	1.094675
37448.70808	1.0986
37480.34354	1.10255
37511.979	1.105275
37594.2312	1.10905
37625.86666	1.1134
37657.50212	1.11575
37689.13758	1.123925
37720.77304	1.125
37752.4085	1.131275
37784.04396	1.1402
37815.67942	1.146675
37847.31488	1.15215
37878.95034	1.163075
37910.5858	1.157275
37942.22126	1.159425
37973.85672	1.16435
38005.49218	1.16775
38037.12765	1.1682
38068.76311	1.172
38100.39857	1.173425
38132.03403	1.178375
38163.66949	1.17845
38195.30495	1.18175
38226.94041	1.18665
