%Depth	TC [%]	TIC [%]	TOC [%]
159.90	0.30	0.03	0.27
160.22	0.40	0.05	0.35
161.46	0.61	0.23	0.37
161.78	0.95	0.59	0.36
162.10	1.24	0.97	0.27
162.41	1.74	1.28	0.46
162.73	1.40	1.18	0.22
163.05	0.84	0.69	0.16
163.37	0.67	0.55	0.13
163.69	0.94	0.81	0.13
164.01	0.73	0.51	0.22
164.33	0.83	0.63	0.20
164.65	1.01	0.70	0.31
165.06	1.19	1.00	0.19
165.80	1.50	1.21	0.30
166.12	0.57	0.04	0.52
166.44	0.55	0.09	0.46
166.53	0.45	0.08	0.38
166.76	0.48	0.02	0.45
166.85	0.20	0.04	0.16
167.19	0.36	0.03	0.33
167.49	0.41	0.04	0.37
167.81	0.39	0.03	0.36
168.13	0.53	0.13	0.39
168.45	0.47	0.16	0.30
168.82	0.32	0.11	0.21
169.04	0.31	0.05	0.26
169.14	0.35	0.08	0.26
169.36	0.30	0.05	0.26
169.68	0.92	0.57	0.35
170.00	0.46	0.18	0.27
170.32	0.43	0.13	0.30
170.64	1.23	0.94	0.30
170.96	0.83	0.56	0.27
171.28	0.17	0.09	0.07
171.60	0.37	0.08	0.28
171.92	0.14	0.03	0.11
172.24	0.40	0.06	0.33
172.56	0.72	0.02	0.70
172.88	1.93	1.56	0.37
174.99	1.77	1.50	0.27
175.31	1.74	1.44	0.31
175.63	1.48	1.13	0.35
175.95	1.14	0.87	0.27
176.27	0.89	0.60	0.30
176.90	2.61	2.41	0.20
177.22	0.93	0.49	0.44
177.54	2.23	2.10	0.13
177.86	0.28	0.06	0.21
178.17	4.91	4.68	0.23
178.49	0.44	0.23	0.21
178.81	1.05	0.82	0.23
179.77	1.76	1.48	0.28
180.09	1.37	1.05	0.32
180.41	1.74	1.44	0.29
180.73	1.48	1.21	0.27
180.91	0.43	0.14	0.30
181.23	0.48	0.29	0.19
181.55	0.46	0.25	0.22
181.87	0.48	0.14	0.35
182.35	0.51	0.05	0.47
182.67	0.48	0.06	0.42
182.97	1.00	0.19	0.81
183.31	0.45	0.05	0.40
183.63	0.56	0.06	0.49
183.95	0.94	0.42	0.51
184.25	1.82	1.23	0.59
184.60	1.59	1.29	0.29
185.28	1.35	0.93	0.43
185.60	1.66	1.26	0.40
185.92	2.12	1.83	0.30
186.24	1.34	0.80	0.54
186.56	1.56	1.17	0.39
186.88	0.94	0.44	0.50
187.20	0.56	0.09	0.47
187.52	0.43	0.06	0.37
187.68	0.50	0.09	0.41
188.00	0.74	0.49	0.25
188.30	1.05	0.70	0.36
188.64	0.86	0.48	0.39
188.96	0.72	0.38	0.34
189.28	0.44	0.15	0.30
189.29	0.56	0.07	0.49
189.61	0.52	0.13	0.38
189.93	0.56	0.05	0.51
190.25	0.52	0.06	0.45
190.62	0.47	0.04	0.43
190.89	0.40	0.02	0.38
191.20	0.42	0.04	0.38
191.52	0.43	0.02	0.41
191.84	0.33	0.02	0.31
192.16	0.33	0.01	0.32
192.48	0.30	0.04	0.26
192.80	0.63	0.33	0.30
193.12	0.65	0.27	0.38
193.45	0.72	0.26	0.45
193.77	0.49	0.06	0.43
194.09	0.62	0.16	0.46
194.40	0.58	0.13	0.46
194.72	0.57	0.19	0.38
194.91	0.81	0.56	0.26
195.23	0.38	0.13	0.25
195.55	0.64	0.27	0.37
195.87	0.32	0.03	0.30
196.19	0.31	0.03	0.28
197.17	0.44	0.21	0.23
197.49	0.43	0.11	0.32
197.80	0.39	0.08	0.31
198.12	0.32	0.02	0.30
198.44	0.40	0.03	0.37
198.76	0.41	0.04	0.37
199.08	0.49	0.06	0.42
199.40	1.28	0.89	0.39
199.57	1.27	1.00	0.27
199.89	1.42	1.02	0.40
200.21	0.87	0.70	0.16
200.35	1.06	0.87	0.18
200.67	0.95	0.76	0.19
