%1	2	3	4	5	6
%depth 	Smectite abundance	Illite abundance	Analcime 	Analcime	Smectite Inverted 
%midpoint mcd	group	group	group	intensity	group
268.633	7	5	0	3020	-7
268.953	7	6	0	2960	-7
269.392	7	6	0	3000	-7
269.486	7	6	0	3210	-7
269.806	7	6	0	3210	-7
270.126	4	7	0	3210	-4
270.451	5	7	0	2800	-5
270.768	6	7	0	2780	-6
271.088	6	8	0	2730	-6
271.309	5	6	0	2460	-5
271.624	8	5	0	2900	-8
272.264	8	4	0	3020	-8
272.5	8	6	0	3020	-8
272.821	9	4	0	3130	-9
273.141	8	5	0	2900	-8
273.461	9	2	0	3070	-9
273.668	7	1	0	2840	-7
273.786	8	2	0	2840	-8
274.106	7	3	0	2800	-7
274.426	8	1	0	2900	-8
274.746	9	1	0	2840	-9
275.289	8	1	0	3020	-8
275.609	8	1	0	3020	-8
275.929	10	1	0	3020	-10
276.24	9	7	0	2900	-9
276.56	7	10	0	2630	-7
276.88	6	11	1	3590	-6
277.2	5	6	1	3240	-5
277.376	5	10	0	2650	-5
279.67	5	6	0	3000	-5
280.049	7	5	1	3040	-7
280.369	7	5	1	3100	-7
280.691	5	5	0	3000	-5
281.011	7	5	0	2900	-7
281.331	8	3	0	2840	-8
281.642	9	1	0	2840	-9
281.744	7	1	0	2600	-7
282.064	8	2	0	3060	-8
282.379	7	1	0	3000	-7
282.434	5	6	0	2900	-5
282.558	7	2	0	3150	-7
282.699	5	5	0	2960	-5
283.019	5	5	0	2770	-5
283.344	6	4	0	2950	-6
283.664	7	3	0	3070	-7
283.984	7	4	0	3070	-7
284.304	8	3	0	3070	-8
284.624	8	2	0	3070	-8
284.944	7	4	0	3070	-7
285.264	9	4	0	3070	-9
285.584	7	5	0	3070	-7
285.898	6	5	0	3010	-6
286.218	10	2	0	2950	-10
286.538	8	6	0	2770	-8
286.863	9	6	0	2950	-9
287.183	8	6	0	3310	-8
287.503	7	6	0	3010	-7
287.813	8	6	0	2950	-8
288.133	9	4	0	3250	-9
288.453	9	4	0	3010	-9
288.773	10	3	0	3130	-10
289.093	9	6	0	3010	-9
289.413	9	6	0	3010	-9
289.733	8	6	0	3010	-8
290.053	10	4	0	3010	-10
290.373	10	4	0	3010	-10
290.693	10	6	0	3010	-10
291.008	10	7	0	3010	-10
291.328	10	6	0	3010	-10
291.648	10	7	0	3010	-10
291.973	8	10	0	3010	-8
292.293	7	9	0	3010	-7
					
